epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
179,16055.4,1.61953,0.99713,0.96119,0.51484,0.40404,0.39489,0.17288,1.85217,1.30373,1.05178,0.0002378,0.0002378,0.0002378
180,16154,1.60389,0.99477,0.95882,0.51778,0.40552,0.3966,0.17345,1.85316,1.30568,1.05059,0.0002279,0.0002279,0.0002279
181,16224.3,1.6187,1.00045,0.96086,0.51897,0.40539,0.39546,0.17313,1.85414,1.30536,1.05074,0.000218,0.000218,0.000218
182,16363.2,1.61119,0.99351,0.96216,0.51767,0.40521,0.39604,0.17402,1.8464,1.30305,1.04967,0.0002081,0.0002081,0.0002081
183,16450.6,1.59581,0.99061,0.96579,0.52041,0.40395,0.39522,0.17394,1.8473,1.30287,1.05011,0.0001982,0.0001982,0.0001982
184,16516.6,1.61587,1.00148,0.96469,0.51749,0.40308,0.39428,0.17313,1.85295,1.30475,1.05278,0.0001883,0.0001883,0.0001883
185,16601.6,1.60327,0.99402,0.95768,0.51636,0.40326,0.39559,0.17304,1.8525,1.30537,1.05134,0.0001784,0.0001784,0.0001784
186,16670.6,1.59765,0.99253,0.95981,0.51405,0.40434,0.39426,0.17298,1.85041,1.30247,1.05247,0.0001685,0.0001685,0.0001685
187,16715.7,1.60273,0.98854,0.95505,0.51772,0.40217,0.39495,0.17347,1.85179,1.30529,1.05186,0.0001586,0.0001586,0.0001586
188,16797,1.61232,0.98888,0.9582,0.51759,0.40213,0.3951,0.1734,1.85442,1.30658,1.05238,0.0001487,0.0001487,0.0001487
189,16858.3,1.59761,0.98658,0.95562,0.51892,0.40222,0.39438,0.17279,1.85342,1.30676,1.05244,0.0001388,0.0001388,0.0001388
190,16913.4,1.59976,0.97829,0.95362,0.51743,0.40222,0.3949,0.17236,1.85728,1.30824,1.05282,0.0001289,0.0001289,0.0001289
191,16966.6,1.58655,0.99807,0.96444,0.5218,0.3957,0.39094,0.17061,1.85754,1.31738,1.05473,0.000119,0.000119,0.000119
192,17018.9,1.57585,0.97736,0.95258,0.51789,0.39748,0.39026,0.16962,1.8627,1.316,1.0578,0.0001091,0.0001091,0.0001091
193,17059.6,1.56296,0.96413,0.95455,0.51503,0.3997,0.38987,0.17047,1.86288,1.31282,1.05639,9.92e-05,9.92e-05,9.92e-05
194,17098.4,1.56876,0.96376,0.95386,0.51622,0.39775,0.39027,0.17046,1.86239,1.31404,1.0544,8.93e-05,8.93e-05,8.93e-05
195,17148.8,1.55663,0.95546,0.95409,0.52139,0.39518,0.39061,0.17044,1.86258,1.31304,1.05475,7.94e-05,7.94e-05,7.94e-05
196,17205.8,1.55877,0.95868,0.95246,0.5196,0.39754,0.39174,0.17089,1.86314,1.31301,1.05653,6.95e-05,6.95e-05,6.95e-05
197,17258.2,1.55758,0.95758,0.94972,0.51882,0.39774,0.39143,0.17126,1.86194,1.31121,1.05605,5.96e-05,5.96e-05,5.96e-05
198,17308,1.55975,0.95854,0.9522,0.51896,0.39774,0.39213,0.17084,1.86335,1.31191,1.05517,4.97e-05,4.97e-05,4.97e-05
199,17349.6,1.56182,0.9503,0.94878,0.52029,0.39957,0.3924,0.17119,1.86471,1.31147,1.05667,3.98e-05,3.98e-05,3.98e-05
200,17459.3,1.55848,0.96032,0.94801,0.51801,0.39987,0.39243,0.17134,1.86374,1.31154,1.05619,2.99e-05,2.99e-05,2.99e-05
