epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4419.56,1.87582,1.30762,1.03887,0.49532,0.37749,0.36961,0.16204,1.87398,1.38594,1.04566,0.0015941,0.0015941,0.0015941
43,4501.22,1.87429,1.29938,1.0433,0.47988,0.37844,0.35843,0.15616,1.88365,1.42329,1.05284,0.0015842,0.0015842,0.0015842
44,4562.5,1.87542,1.32532,1.04657,0.50788,0.37701,0.37606,0.16222,1.87399,1.34055,1.0537,0.0015743,0.0015743,0.0015743
45,4703.27,1.85167,1.29126,1.03732,0.50837,0.38149,0.37383,0.15768,1.88393,1.3638,1.04307,0.0015644,0.0015644,0.0015644
46,4760.12,1.87801,1.30033,1.03759,0.50578,0.38566,0.37485,0.16168,1.87954,1.35916,1.04389,0.0015545,0.0015545,0.0015545
47,4859.82,1.85382,1.29191,1.03376,0.50037,0.36802,0.36327,0.16056,1.87806,1.35748,1.05403,0.0015446,0.0015446,0.0015446
48,4959.77,1.86399,1.30174,1.04142,0.50158,0.37754,0.37299,0.15898,1.89367,1.36762,1.04319,0.0015347,0.0015347,0.0015347
49,5029.22,1.85837,1.27932,1.03907,0.48081,0.35512,0.34843,0.14873,1.93068,1.40788,1.06556,0.0015248,0.0015248,0.0015248
50,5131.97,1.86655,1.30326,1.04124,0.49354,0.3821,0.36829,0.16039,1.86092,1.36837,1.04633,0.0015149,0.0015149,0.0015149
51,5205.43,1.85409,1.29618,1.03322,0.50491,0.38862,0.38163,0.16361,1.85837,1.37116,1.04185,0.001505,0.001505,0.001505
52,5276.25,1.83989,1.27609,1.03346,0.50505,0.37562,0.37314,0.163,1.8701,1.35181,1.05418,0.0014951,0.0014951,0.0014951
53,5366.84,1.85501,1.27592,1.03219,0.49803,0.38805,0.37818,0.1594,1.87165,1.34882,1.04123,0.0014852,0.0014852,0.0014852
54,5593.64,1.84101,1.27856,1.035,0.5108,0.3894,0.38574,0.16467,1.84427,1.35772,1.04529,0.0014753,0.0014753,0.0014753
55,5679.73,1.84015,1.28249,1.03223,0.5152,0.38792,0.38285,0.16773,1.84622,1.33181,1.04427,0.0014654,0.0014654,0.0014654
56,5741.74,1.8365,1.27616,1.02725,0.50499,0.37645,0.37173,0.16672,1.84348,1.33621,1.05319,0.0014555,0.0014555,0.0014555
57,5833.45,1.83639,1.28038,1.03262,0.51319,0.39457,0.38565,0.16623,1.86481,1.32427,1.0481,0.0014456,0.0014456,0.0014456
58,5958.99,1.83827,1.27339,1.02575,0.5082,0.38414,0.37824,0.16847,1.84512,1.32471,1.04819,0.0014357,0.0014357,0.0014357
59,6013.48,1.83331,1.25769,1.03297,0.50163,0.37958,0.37863,0.16152,1.86818,1.3443,1.04365,0.0014258,0.0014258,0.0014258
60,6110.75,1.82977,1.26267,1.02795,0.49338,0.36806,0.36861,0.15573,1.87854,1.40799,1.0449,0.0014159,0.0014159,0.0014159
61,6259.23,1.82052,1.24336,1.02588,0.51325,0.3771,0.37682,0.16267,1.87676,1.3527,1.05366,0.001406,0.001406,0.001406
62,6310.16,1.82712,1.26199,1.02745,0.52171,0.38844,0.38894,0.1698,1.83796,1.3275,1.0334,0.0013961,0.0013961,0.0013961
63,6430.23,1.81485,1.25893,1.02474,0.51367,0.39248,0.3843,0.16853,1.82833,1.33406,1.04301,0.0013862,0.0013862,0.0013862
64,6543.37,1.81166,1.24307,1.02156,0.50535,0.38206,0.3792,0.16553,1.8581,1.35708,1.04283,0.0013763,0.0013763,0.0013763
65,6650.65,1.81039,1.23344,1.01939,0.51416,0.3867,0.38596,0.16812,1.84186,1.33913,1.04523,0.0013664,0.0013664,0.0013664
66,6732.22,1.81326,1.24704,1.0231,0.50047,0.38979,0.37862,0.16657,1.84831,1.31987,1.04177,0.0013565,0.0013565,0.0013565
